regime,arm,period,instrument_id,signal_date,entry_date,exit_date,entry_price,stop_price,exit_price,shares,initial_risk_per_share,costs,mfe,mae,exit_reason,gross_r,net_r,holding_days
1x,NONE,primary,AEP,2016-10-31,2016-11-01,2016-11-02,64.5822780015,62.65848058777211308432937373,62.62715134747822702778720904,519,1.92379741372788691567062627,5.190,0.1651546031992642695525245438,-1.383867127849548274972976103,stop,-1.016285103655055358301030215,-1.021483156177967450179180380,1
1x,NONE,primary,AEP,2016-12-12,2016-12-13,2017-01-12,62.0410029990,59.82539427276673166630453610,63.2583559995,451,2.21560872623326833369546390,4.510,0.6720482652780599407134036845,-0.4563098109469881961240767885,time,0.5494440358923880250544165739,0.5449306035874878325070666520,30
1x,NONE,primary,AEP,2017-01-17,2017-01-18,2017-02-15,63.5617639995,61.84533684962121091400909731,63.2583559995,582,1.71642714987878908599090269,5.820,0.4941893400834991112818703417,-0.8283281930144267511585228887,time,-0.1767671875974614549621321668,-0.1825932431924840468173941298,28
1x,NONE,primary,AEP,2017-02-21,2017-02-22,2017-03-22,64.7023329990,63.23836457665949230169142252,67.4062819990,683,1.46396842234050769830857748,6.830,2.115940449075824388189688178,-0.1245491338593846125345004416,time,1.846999538198428735282547987,1.840168789770117296215899363,28
1x,NONE,primary,AEP,2017-05-22,2017-05-23,2017-06-21,69.4647150000,67.99634182986348829231014506,72.3638019990,681,1.46837317013651170768985494,6.810,2.387190171606118758689666649,-0.06450131473812941936065008895,time,1.974353017312675154657061038,1.967542759400464514045454263,29
1x,NONE,primary,AEP,2017-08-02,2017-08-03,2017-08-31,70.7853750000,69.25845614417674766024594741,73.5931820015,654,1.52691885582325233975405259,6.540,2.295227402971881351373960837,-0.3047804395270820007315065929,time,1.838871129786490874066188199,1.832321993293832652186381450,28
1x,NONE,primary,AEP,2017-09-11,2017-09-12,2017-09-12,74.5272429990,73.20943694572260332165956074,73.17283222724974201999873096,758,1.31780605327739667834043926,7.580,0,-1.424519939281871625014826512,stop,-1.027777014972594036167490230,-1.035365385032915053186865623,0
1x,NONE,primary,AEP,2017-10-12,2017-10-13,2017-11-10,73.5867780015,72.04743579720587251872298649,74.7426090005,649,1.53934220429412748127701351,6.490,1.463753798352604501241159312,-0.6930109487832677100672697843,time,0.7508603322742077834158867817,0.7443640509586535552028408468,28
1x,NONE,primary,AEP,2017-11-13,2017-11-14,2017-12-13,75.9679650000,74.08031545902043259563276453,76.4717469990,529,1.88764954097956740436723547,5.290,1.113572702117777899923245077,-0.09957674659378661189607817387,time,0.2668832259713685470800221460,0.2615856324388261398416876507,29
1x,NONE,primary,AEP,2018-03-16,2018-03-19,2018-04-17,67.7238470010,65.50674432337200789148380017,68.8255709995,451,2.21710267762799210851619983,4.510,0.7650304228646091394648630131,-0.6647626273117951388462903571,time,0.4969206025580644693950818638,0.4924102115414884202041639094,29
1x,NONE,primary,AEP,2018-04-26,2018-04-27,2018-05-08,69.5347500000,67.51386495294967440720422354,67.48010802047319957000062143,494,2.02088504705032559279577646,4.940,0.7151584411540302853782360685,-1.209744217548816820514874656,stop,-1.016704033970534988471293365,-1.021652360949645429932949117,11
1x,NONE,primary,AEP,2018-06-25,2018-06-26,2018-07-25,69.0345000000,66.98824901085760993900456430,69.3453070015,488,2.04625098914239006099543570,4.880,1.317288550770460349870210889,-0.4420293526060010683863662404,time,0.1518909474688944127006355254,0.1470039614378254049871578892,29
