instrument_id,signal_date,session_date,exit,entry_price,stop_price,exit_date,exit_price,exit_reason,per_dollar,excess_over_spy,levered,pullback,spy_above_200
UNH,2018-09-11,2018-09-12,base,262.8013480065,256.2028487011833552595478408,2018-09-24,269.1735514400747187588701794,target,0.024247,0.017676,False,True,True
UNH,2018-09-11,2018-09-12,wide,262.8013480065,249.6043493958667105190956816,2018-12-07,269.0454030035,time,0.02376,0.112131,False,True,True
FN,2018-09-14,2018-09-17,base,45.8929339995,43.33626067093464244330603059,2018-10-10,43.29985821197105734365365352,stop,-0.056503,-0.018347,False,True,True
FN,2018-09-14,2018-09-17,wide,45.8929339995,40.77958734236928488661206118,2018-12-12,49.1554100000,time,0.071089,0.153622,False,True,True
LLY,2018-09-14,2018-09-17,base,105.7628539995,102.9812916138764399051078209,2018-10-03,108.4532390753600563044124697,target,0.025438,0.017212,False,False,True
LLY,2018-09-14,2018-09-17,wide,105.7628539995,100.1997292282528798102156418,2018-12-12,114.2828260020,time,0.080557,0.16309,False,False,True
RMD,2018-09-14,2018-09-17,base,112.8163820010,109.9050768440645327397289611,2018-09-26,115.6304759007228014677724112,target,0.024944,0.023078,False,False,True
RMD,2018-09-14,2018-09-17,wide,112.8163820010,106.9937716871290654794579223,2018-10-08,106.9038969189118770644551776,stop,-0.052408,-0.047155,False,False,True
OMCL,2018-10-04,2018-10-05,base,67.5037360005,64.06394074141537632711072497,2018-10-10,64.01012703119258741099595196,stop,-0.051754,-0.018678,False,True,True
OMCL,2018-10-04,2018-10-05,wide,67.5037360005,60.62414548233075265422144995,2018-10-23,60.57322120012559482199190393,stop,-0.102669,-0.053297,False,True,True
TPB,2018-10-04,2018-10-05,base,39.1995900000,36.14731344810551620408936323,2018-10-08,42.21637498399089242952207184,target,0.07696,0.07696,False,True,True
TPB,2018-10-04,2018-10-05,wide,39.1995900000,33.09503689621103240817872646,2018-11-14,33.06723706521821514095585633,stop,-0.156439,-0.09522,False,True,True
INTU,2018-10-05,2018-10-08,base,217.4486659980,208.8325034335812171056003110,2018-10-10,208.6570841306970088832316067,stop,-0.040431,-0.007354,False,True,True
INTU,2018-10-05,2018-10-08,wide,217.4486659980,200.2163408691624342112006220,2018-10-11,200.0481591428323377664632135,stop,-0.080021,-0.025647,False,True,True
ICLR,2018-10-10,2018-10-11,base,140.8403890020,133.1879827516119375652612319,2018-10-16,148.3680613043760564622935875,target,0.053448,0.02321,False,True,True
ICLR,2018-10-10,2018-10-11,wide,140.8403890020,125.5355765012238751305224638,2018-10-25,125.4301266169628470754128249,stop,-0.109416,-0.101737,False,True,True
NBIX,2018-10-10,2018-10-11,base,108.1140279990,99.71935940646309713604741274,2018-11-08,108.2558430010,time,0.001312,-0.029294,False,True,True
NBIX,2018-10-10,2018-10-11,wide,108.1140279990,91.32469081392619427209482548,2018-11-14,91.24797807364249626890626583,stop,-0.156002,-0.148764,False,True,True
CNC,2018-10-11,2018-10-12,base,70.4452090020,68.15346073296645105202781304,2018-10-16,72.67585822692588076685589032,target,0.031665,0.015539,False,True,False
CNC,2018-10-11,2018-10-12,wide,70.4452090020,65.86171246393290210405562608,2018-10-23,65.80638862546319846628821935,stop,-0.06585,-0.05737,False,True,False
BKD,2018-10-15,2018-10-16,base,8.6843400000,7.971786535394509156366092044,2018-11-01,9.389000074095222231325255473,target,0.081141,0.105713,False,True,False
BKD,2018-10-15,2018-10-16,wide,8.6843400000,7.259233070789018312732184088,2018-12-20,7.253135315009555537349489053,stop,-0.164803,-0.046294,False,True,False
ENSG,2018-10-15,2018-10-16,base,36.5477337345,34.51999510261558945729736030,2018-10-25,34.49099830672939236215323052,stop,-0.056275,-0.019471,False,False,False
ENSG,2018-10-15,2018-10-16,wide,36.5477337345,32.49225647073117891459472060,2019-01-14,37.5583864125,time,0.027653,0.109679,False,False,False
INTU,2018-10-22,2018-10-23,base,208.9744299975,196.9131758369432060946784603,2018-10-29,196.7477687692401738015589304,stop,-0.058508,-0.022873,False,True,False
INTU,2018-10-22,2018-10-23,wide,208.9744299975,184.8519216763864121893569206,2018-12-24,184.6966460621782476031178608,stop,-0.116176,0.02735,False,True,False
CSCO,2018-10-23,2018-10-24,base,44.0920350000,42.02798686236910564252348909,2018-10-31,46.11731202779528440621623064,target,0.045933,0.025919,False,True,False
CSCO,2018-10-23,2018-10-24,wide,44.0920350000,39.96393872473821128504697817,2019-01-23,45.4372690005,time,0.03051,0.037709,False,True,False
CDXS,2018-10-29,2018-10-30,base,15.2476200000,13.62898694458455317999832877,2018-11-07,16.85208540284889784467286983,target,0.105227,0.055782,False,True,False
CDXS,2018-10-29,2018-10-30,wide,15.2476200000,12.01035388916910635999665753,2019-01-29,16.9815050000,time,0.113715,0.129998,False,True,False
FTC,2018-10-31,2018-11-01,base,63.2416039995,60.31600446992242290391063240,2018-11-20,59.03599520756,stop_gap,-0.066501,-0.032169,False,True,False
FTC,2018-10-31,2018-11-01,wide,63.2416039995,57.39040494034484580782126480,2018-12-18,57.34219700019495613734269494,stop,-0.093284,-0.0259,False,True,False
XRT,2018-11-02,2018-11-05,base,48.5442600000,46.33350159730495704197566423,2018-11-15,46.29458145596322087806040467,stop,-0.046343,-0.044989,False,False,False
XRT,2018-11-02,2018-11-05,wide,48.5442600000,44.12274319460991408395132845,2018-11-20,43.79383020378,stop_gap,-0.097858,-0.06395,False,False,False
ABR,2018-11-06,2018-11-07,base,12.1360650000,11.66322330351043102332496649,2018-11-12,12.59831521486451773873462648,target,0.038089,0.068123,False,False,False
ABR,2018-11-06,2018-11-07,wide,12.1360650000,11.19038160702086204664993298,2018-12-17,11.18098168647096452253074704,stop,-0.078698,0.01258,False,False,False
CNC,2018-11-21,2018-11-23,base,68.1290485005,63.77040755505835206499722934,2018-12-03,72.42679978680705695073736833,target,0.063083,0.002114,False,True,False
CNC,2018-11-21,2018-11-23,wide,68.1290485005,59.41176660961670412999445868,2018-12-17,59.36186072566462609852526333,stop,-0.128685,-0.098714,False,True,False
GBCI,2018-11-26,2018-11-27,base,46.2331039995,44.03224207715841597506808957,2018-12-06,43.79383020378,stop_gap,-0.05276,-0.058125,False,False,False
GBCI,2018-11-26,2018-11-27,wide,46.2331039995,41.83138015481683195013617914,2018-12-17,41.79624179548678581129806475,stop,-0.095967,-0.047383,False,False,False
BFAM,2018-12-06,2018-12-07,base,116.3181320010,110.9171142790913002356191788,2018-12-17,110.8239439030968635434212587,stop,-0.047234,-0.016085,False,False,False
BFAM,2018-12-06,2018-12-07,wide,116.3181320010,105.5160965571826004712383576,2018-12-24,105.4274630360745670868425174,stop,-0.093628,0.017272,False,False,False
ORLY,2018-12-11,2018-12-12,base,23.5871206665,22.20410363581495857076569593,2018-12-20,22.18545218876087400556625275,stop,-0.059425,0.009474,False,True,False
ORLY,2018-12-11,2018-12-12,wide,23.5871206665,20.82108660512991714153139186,2019-03-12,24.3551483340,time,0.032561,-0.02029,False,True,False
MMSI,2018-12-17,2018-12-18,base,53.5767739995,49.34024496354166337117153960,2019-01-17,52.5936890005,time,-0.018349,-0.049241,False,True,False
MMSI,2018-12-17,2018-12-18,wide,53.5767739995,45.10371592758332674234307921,2019-03-18,60.1599040005,time,0.122873,0.016044,False,True,False
XLV,2019-01-24,2019-01-25,base,88.9644579990,85.79972232763769397798415620,2019-02-15,92.05180514767920168495735049,target,0.034703,-0.008904,False,False,False
XLV,2019-01-24,2019-01-25,wide,88.9644579990,82.63498665627538795596831240,2019-04-23,87.2863369990,time,-0.018863,-0.120827,False,False,False
ABT,2019-01-29,2019-01-30,base,71.7158400000,68.24869510442575143520767957,2019-02-12,75.11983118826196619599789488,target,0.047465,0.023098,False,True,False
ABT,2019-01-29,2019-01-30,wide,71.7158400000,64.78155020885150287041535914,2019-04-26,78.5207180010,time,0.094887,-0.001645,False,True,False
NWN,2019-01-29,2019-01-30,base,61.6808270010,59.03996736122809537061487062,2019-02-19,64.26765642399365622949644587,target,0.041939,0.003558,False,False,False
NWN,2019-01-29,2019-01-30,wide,61.6808270010,56.39910772145619074122974125,2019-04-26,66.9165220015,time,0.084884,-0.011648,False,False,False
HCA,2019-01-30,2019-01-31,base,139.4997079965,132.9140288074300309868217760,2019-03-01,138.4007659995,time,-0.007878,-0.04674,False,False,False
HCA,2019-01-30,2019-01-31,wide,139.4997079965,126.3283496183600619736435521,2019-03-08,125.03557419244,stop_gap,-0.103686,-0.120468,False,False,False
TT,2019-02-05,2019-02-06,base,78.2780644725,74.88799168714598988465738265,2019-02-19,81.59953602255741274684572955,target,0.042432,0.023696,False,False,False
TT,2019-02-05,2019-02-06,wide,78.2780644725,71.49791890179197976931476531,2019-05-03,96.6855350490,time,0.235155,0.157095,False,False,False
AU,2019-02-07,2019-02-08,base,13.5067500000,12.58695808501674632279002259,2019-02-19,14.41442361977466774412112103,target,0.067201,0.039916,False,False,False
AU,2019-02-07,2019-02-08,wide,13.5067500000,11.66716617003349264558004518,2019-05-01,11.65736575045066451175775794,stop,-0.136923,-0.215823,False,False,False
ERIE,2019-02-08,2019-02-11,base,158.3291250000,151.5931081522313224375471298,2019-02-15,164.9264871286165518733004098,target,0.041669,0.016726,False,False,False
ERIE,2019-02-08,2019-02-11,wide,158.3291250000,144.8570913044626448750942595,2019-05-08,197.9809619990,time,0.250439,0.187953,False,False,False
UFPI,2019-02-12,2019-02-13,base,31.7158510005,30.10326435734399520313471788,2019-02-21,33.30044175603533375283591528,target,0.049962,0.041125,False,False,True
